Position,Name,Address,Phone Number,Price,Description,Rating,Reviews
1,Stumptown Coffee Roasters,"30 W 8th St, New York, NY 10011",(347) 414-7802,$$,"Coffee bar serving direct-trade java. Coffee bar chain offering house-roasted direct-trade coffee, along with brewing gear & whole beans",4.5,1107
2,Peet's Coffee,"853 Broadway, New York, NY 10003",(646) 759-4933,$,"Coffeehouse chain also known for its tea. Berkeley-born chain featuring signature coffee, tea & blended drinks alongside baked goods.",4.3,214
3,Blue Bottle Coffee,"150 Greenwich St, New York, NY 10007",(510) 653-3394,$$,"Hip cafe for gourmet coffee & pastries. Trendy cafe chain offering upscale coffee drinks & pastries, plus beans & brewing equipment.",4.4,681
4,Starbucks,"130 Fulton St, New York, NY 10038",(212) 962-0439,$$,"Iconic Seattle-based coffeehouse chain. Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",4,430
5,La Colombe Coffee Roasters,"270 Lafayette St, New York, NY 10012",(212) 625-1717,$$,"Sleek cafe serving artisanal coffee. Trendy cafe serving house-brand artisanal coffee, pastries & snacks in a sleek space.",4.4,542
6,Stumptown Coffee Roasters,"212b Pacific St, Brooklyn, NY 11201",(855) 711-3385,$$,"Coffee bar serving direct-trade java. Coffee bar chain offering house-roasted direct-trade coffee, along with brewing gear & whole beans",4.5,258
7,Blue Bottle Coffee,"101 University Pl, New York, NY 10003",(510) 653-3394,$$,"Hip cafe for gourmet coffee & pastries. Trendy cafe chain offering upscale coffee drinks & pastries, plus beans & brewing equipment.",4.4,195
8,La Colombe Coffee Roasters,"67 Wall St, New York, NY 10005",(212) 220-0415,$$,"Sleek cafe serving artisanal coffee. Trendy cafe serving house-brand artisanal coffee, pastries & snacks in a sleek space.",4.5,428
9,Starbucks,"38 Park Row, New York, NY 10038",(212) 608-8073,$$,"Iconic Seattle-based coffeehouse chain. Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",3.8,933
10,La Colombe Coffee Roasters,"75 Vandam St, New York, NY 10013",(212) 929-9699,$$,"Hip coffee bar. Snug, hip cafe outpost of Philly-based roaster serving espresso drinks & pastries.",4.5,415
11,Starbucks,"125 Chambers St, New York, NY 10007",(212) 791-6368,$$,"Iconic Seattle-based coffeehouse chain. Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",3.9,450
12,La Colombe Coffee Roasters,"154 Prince St, New York, NY 10012",(646) 690-7340,$$,"Sleek cafe serving artisanal coffee. Trendy cafe serving house-brand artisanal coffee, pastries & snacks in a sleek space.",4.4,186
13,Peet's Coffee,"60 Washington Square S, New York, NY 10012",None,$,"Coffeehouse chain also known for its tea. Berkeley-born chain featuring signature coffee, tea & blended drinks alongside baked goods.",4.3,29
14,Starbucks,"120 Church St, New York, NY 10007",(212) 513-1451,$$,"Iconic Seattle-based coffeehouse chain. Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",3.9,484
15,Blue Bottle Coffee,"22 Broad St, New York, NY 10005",(510) 653-3394,$$,"Hip cafe for gourmet coffee & pastries. Trendy cafe chain offering upscale coffee drinks & pastries, plus beans & brewing equipment.",4.5,33
16,La Colombe Coffee Roasters,"319 Church St, New York, NY 10013",(212) 343-1515,$$,"Sleek cafe serving artisanal coffee. Trendy cafe serving house-brand artisanal coffee, pastries & snacks in a sleek space.",4.4,476
17,Blue Bottle Coffee,"396 Broadway, New York, NY 10013",(510) 653-3394,$$,"Hip cafe for gourmet coffee & pastries. Trendy cafe chain offering upscale coffee drinks & pastries, plus beans & brewing equipment.",4.5,111
18,Starbucks,"291 Broadway, New York, NY 10007",(212) 406-5315,$$,"Iconic Seattle-based coffeehouse chain. Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",3.4,423
19,Partners Coffee,"44 Charles St, New York, NY 10014",(917) 675-7668,$$,"Gourmet coffee shop & roasters. Gourmet coffee shop from Australia with pour-overs, espressos & snacks, plus roastings & classes.",4.4,378
20,Gregorys Coffee,"16 Court St, Brooklyn, NY 11201",(929) 337-6368,$$,None,4.4,291
